Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
29/03/2011,1309.37,1319.45,1305.26,1319.44,"3,482,580,000",0,10.08,-4.11,10.07
30/03/2011,1321.89,1331.74,1321.89,1328.26,"3,809,570,000",0,9.85,0,6.37
31/03/2011,1327.44,1329.77,1325.03,1325.83,"3,566,270,000",0,2.33,-2.41,-1.61
01/04/2011,1329.48,1337.85,1328.89,1332.41,"4,223,740,000",0,8.37,-0.59,2.93
04/04/2011,1333.56,1336.74,1329.1,1332.87,"4,223,740,000",0,3.18,-4.46,-0.69
05/04/2011,1332.03,1338.21,1330.03,1332.63,"3,852,280,000",0,6.18,-2,0.6
06/04/2011,1335.94,1339.38,1331.09,1335.54,"4,223,740,000",0,3.44,-4.85,-0.4
07/04/2011,1334.82,1338.8,1326.56,1333.51,"4,005,600,000",0,3.98,-8.26,-1.31
08/04/2011,1336.16,1339.46,1322.94,1328.17,"3,582,810,000",0,3.3,-13.22,-7.99
11/04/2011,1329.01,1333.77,1321.06,1324.46,"3,478,970,000",0,4.76,-7.95,-4.55
12/04/2011,1321.96,1321.96,1309.51,1314.16,"4,275,490,000",0,0,-12.45,-7.8
13/04/2011,1314.03,1321.35,1309.19,1314.41,"3,850,860,000",0,7.32,-4.84,0.38
14/04/2011,1311.13,1316.79,1302.42,1314.52,"3,872,630,000",0,5.66,-8.71,3.39
15/04/2011,1314.54,1322.88,1313.68,1319.68,"4,223,740,000",0,8.34,-0.86,5.14
18/04/2011,1313.35,1313.35,1294.7,1305.14,"4,223,740,000",0,0,-18.65,-8.21
19/04/2011,1305.99,1312.7,1303.97,1312.62,"3,886,300,000",0,6.71,-2.02,6.63
20/04/2011,1319.12,1332.66,1319.12,1330.36,"4,236,280,000",0,13.54,0,11.24
21/04/2011,1333.23,1337.49,1332.83,1337.38,"3,587,240,000",0,4.26,-0.4,4.15
25/04/2011,1337.14,1337.55,1331.47,1335.25,"2,142,130,000",0,0.41,-5.67,-1.89
26/04/2011,1336.75,1349.55,1336.75,1347.24,"3,908,060,000",0,12.8,0,10.49
27/04/2011,1348.43,1357.49,1344.25,1355.66,"4,051,570,000",0,9.06,-4.18,7.23
28/04/2011,1353.86,1361.71,1353.6,1360.48,"4,036,820,000",0,7.85,-0.26,6.62
